language,glottolog,sortclass,family,genus.print,genus.WALS,printname,Oc.printname,print,lat,lon,hjust,vjust,Oc.hjust,Oc.vjust,area.glottolog,area.WALS,ref.NomPers,NomPers,APC,WO.WALS,WO,adpos.manual,adpos.WALS,adpos,genitive.WALS,genitive,DemDir.WALS,DemDir.manual,DemDir,ArtOrder,Art.with.Nompers,APC.dir,boundPers,boundPers.simultAPC,PPDC,PPDC.ref
Catalan,stan1289,"IE, Romance, Iberian",IE,"\gls{ie}, Romance",Romance,Cat,22,1,41.453,1.569,-0.1,-0.6,0.2,-0.6,Eurasia,Eurasia,"(Q) Hualde 1992:287, 290; Höhn 2016:560",y,y,VO,VO,pre,pre,pre,NGen,NGen,DemN,DemN,DemN,ArtN,y,pre,n,NA,NA,NA
Galician,gali1258,"IE, Romance, Iberian",IE,"\gls{ie}, Romance",Romance,Galician,Galician,1,42.2446,-7.5343,1.1,0,1.1,0,Eurasia,Eurasia,"Alvarez et al. 1986:152, 301; Höhn 2016:560",y,y,NA,VO,pre,NA,pre,NA,NGen,NA,DemN,DemN,ArtN,y,pre,n,NA,NA,NA
Portuguese,port1283,"IE, Romance, Iberian",IE,"\gls{ie}, Romance",Romance,Portuguese,Portuguese,1,39.91,-8.1,1.1,1,1.1,1,Eurasia,Eurasia,"Höhn 2016:555, 560",y,y,VO,VO,pre,pre,pre,NGen,NGen,DemN,DemN,DemN,ArtN,n,pre,n,NA,NA,NA
Spanish,stan1288,"IE, Romance, Iberian",IE,"\gls{ie}, Romance",Romance,Spa,23,1,40.4414,-1.11788,0.5,1.6,0.5,1.6,Eurasia,Eurasia,De Bruyne 1995:145;  Choi 2014:210f.; Höhn 2016:560,y,y,VO,VO,pre,pre,pre,NGen,NGen,DemN,DemN,DemN,ArtN,y,pre,n,NA,NA,NA
Italian,ital1282,"IE, Romance, Italo",IE,"\gls{ie}, Romance",Romance,Ita,24,1,43.0464,12.6489,0.5,-0.7,0.5,-0.7,Eurasia,Eurasia,Cardinaletti 1994:202f.;  Höhn 2016:559,y,y,VO,VO,pre,pre,pre,NGen,NGen,DemN,DemN,DemN,ArtN,n,pre,n,NA,NA,NA
Northern Calabrian,nort2612,"IE, Romance, Italo",IE,"\gls{ie}, Romance",Romance,2,25,1,39.45,15.55,1.7,0.1,1.3,0.2,Eurasia,Eurasia,"Höhn, Silvestri & Squillaci 2016:142",y,y,NA,VO,pre,NA,pre,NA,NGen,NA,DemN,DemN,ArtN,n,pre,n,NA,NA,NA
Southern Calabrian,sout2616,"IE, Romance, Italo",IE,"\gls{ie}, Romance",Romance,3,26,1,37.56,15.55,1.7,0.3,1.3,0.4,Eurasia,Eurasia,"Höhn, Silvestri & Squillaci 2016:142",y,y,NA,VO,pre,NA,pre,NA,NGen,NA,DemN,DemN,ArtN,n,pre,n,NA,NA,NA
Russian,russ1263,"IE, Slavic, East",IE,"\gls{ie}, Slavic",Slavic,Russian,Russian,1,59,50,0.5,-0.8,0.5,-0.7,Eurasia,Eurasia,Pesetsky 1978:352,y,y,VO,VO,pre,pre,pre,NGen,NGen,DemN,DemN,DemN,NA,NA,pre,n,NA,NA,NA
Bulgarian,bulg1262,"IE, Slavic, South",IE,"\gls{ie}, Slavic",Slavic,Bulg,27,1,43.3646,25.047,-0.2,-0.3,1.2,0,Eurasia,Eurasia,Höhn 2016:560,y,y,VO,VO,pre,pre,pre,NoDom,NoDom,DemN,DemN,DemN,NArt,y,pre,n,NA,NA,NA
Pomak,poma1238,"IE, Slavic, South",IE,"\gls{ie}, Slavic",Slavic,Pomak,28,1,41.8,25.43,-0.2,0.3,-0.1,0.2,Eurasia,Eurasia,Papadimitriou 2008:582 (144?),y,y,NA,VO,pre,NA,pre,NA,NoDom,NA,DemN,DemN,NArt,y,pre,n,NA,y-nn,Papadimitriou 2008:581
